,COUNTRY,DIVISION,CATEGORY,SUB_CATEGORY,CHANNEL,A_2019_Q1,A_2019_Q2,A_2019_Q3,A_2019_Q4,A_2019_FY,A_2020_Q1,A_2020_Q2,A_2020_Q3,A_2020_Q4,A_2020_FY,BS_2021_Q1,BS_2021_Q2,BS_2021_Q3,BS_2021_Q4,BS_2022_Q1,BS_2022_Q2,BS_2022_Q3,BS_2022_Q4,LC_2021_Q1,LC_2021_Q2,LC_2021_Q3,LC_2021_Q4,LC_2022_Q1,LC_2022_Q2,LC_2022_Q3,LC_2022_Q4,RI_2021_Q1,RI_2021_Q2,RI_2021_Q3,RI_2021_Q4,RI_2022_Q1,RI_2022_Q2,RI_2022_Q3,RI_2022_Q4,BS_H1_2022_2021,BS_H2_2022_2021,BS_FY_2021_2020,BS_FY_2022_2019,BS_FY_2022_2021,LC_H1_2022_2021,LC_H2_2022_2021,LC_FY_2021_2020,LC_FY_2022_2019,LC_FY_2022_2021,RI_H1_2022_2021,RI_H2_2022_2021,RI_FY_2021_2020,RI_FY_2022_2019,RI_FY_2022_2021
10,Indonesia,BPC,Hair Care,Post Wash,Indonesia MT Key Account,10.32,10.9,10.9,10.84,42.96,10.66,10.3,10.73,10.58,42.27,10.24,11.46,12.09,13.21,13.44,14.3,14.19,14.1,10.24,11.46,10.9,11.24,11.12,10.71,11.4,11.39,10.24,11.46,11.43,10.73,10.57,11.14,11.7,11.71,27.86195525291093,11.819894550086985,11.183184379667853,30.43981231897095,19.225158202009297,0.6010615539757458,2.9547767467487773,3.7093311981759136,3.8785670635247405,1.789965499234536,0.07836222747266142,5.619170984410227,3.7697062427918926,5.05078174450857,2.8787199173732736
11,Indonesia,BPC,Hair Care,Post Wash,Indonesia MT Minimarket,8.72,9.52,9.43,9.43,37.09,9.19,9.8,10.39,10.45,39.83,9.96,11.3,11.93,12.73,12.42,12.95,12.88,12.84,9.96,11.3,10.71,10.51,10.39,10.7,10.49,10.57,9.96,11.3,10.72,10.44,10.44,11.93,11.58,11.65,19.352917085987166,4.296401382978909,15.281031979510583,37.71997517728607,11.26792634769538,-0.816364449549567,-0.7572091525402946,6.663944218124018,13.62035154758603,-0.786812250431379,5.199600676137206,9.733195077499435,6.520863524890985,22.901238299994287,7.461400043299893
12,Indonesia,BPC,Hair Care,Post Wash,Indonesia Modern Trade,14.95,15.7,16.1,16.04,62.8,15.79,15.43,16.11,16.14,63.47,15.65,17.07,18.25,19.64,19.42,20.09,20.27,20.09,15.65,17.07,16.21,16.46,15.89,16.22,16.67,16.57,15.65,17.07,16.43,16.39,16.37,17.74,17.82,17.86,20.708916781480035,6.513871109354796,11.265014628347236,27.181123314814727,13.092569495662731,-1.891345287611823,1.7005589828215761,3.0499547825135087,4.0535950869169834,-0.09681627462416742,4.2114136339062025,8.694399266941378,3.2856893573346424,11.13254825757899,6.456250214774628
13,Indonesia,BPC,Hair Care,Post Wash,Total,46.93,49.03,50.6,50.5,197.06,49.44,47.59,49.67,50.21,196.91,49.08,53.32,57.23,62.12,61.62,63.73,64.22,63.86,49.08,53.32,51.04,52.07,50.91,51.0,52.46,52.42,49.08,53.32,52.06,50.77,51.25,54.73,55.49,55.58,22.40986497055011,7.316496791034166,12.612798402013503,28.602998915180677,14.286605919142348,-0.47911792949453247,1.7167816853467022,4.3722425808517595,4.941866989027166,0.6226524317146875,3.489445504144495,8.01834292182637,4.229022347112066,10.146998635415239,5.758673119146263
14,Indonesia,BPC,Hair Care,Shampoo,Indonesia General Trade,58.11,57.7,59.79,61.11,236.71,59.57,49.37,51.5,57.59,218.03,59.44,60.69,55.21,62.39,62.51,62.52,62.78,63.0,59.44,60.69,53.19,57.94,57.51,56.79,58.72,58.59,59.44,60.69,57.17,54.19,59.96,58.16,60.81,62.9,4.077333456947474,6.9535423727839385,9.040324064289385,5.959812959603639,5.500106068199617,-4.8529603040498355,5.560851133831424,6.068414079999895,-2.154138130111216,0.15098718096626662,-1.6810004852021554,11.080555300771056,6.1811741677967325,2.162335641562785,4.458103454522511
15,Indonesia,BPC,Hair Care,Shampoo,Indonesia MT Hyper/Super,23.5,23.25,24.21,23.9,94.86,24.56,21.67,21.38,21.75,89.36,21.55,22.14,22.95,23.46,23.75,23.97,23.57,24.0,21.55,22.14,21.8,22.11,22.0,22.02,21.9,22.02,21.55,22.14,21.84,21.99,22.55,22.93,22.67,23.39,9.238491213840705,2.4933115475657575,0.8246649554063401,0.45331176525027495,5.763923719154174,0.7761951649914778,0.009799666801790785,-1.9678938183908645,-7.289837692338841,0.3919963604170684,4.122991596949022,5.09257775837868,-2.060615544610289,-3.487258987716735,4.6085933710035665
16,Indonesia,BPC,Hair Care,Shampoo,Indonesia MT Independent,21.49,22.26,23.0,23.27,90.01,23.22,23.98,23.94,24.93,96.06,23.8,24.91,25.41,25.76,25.84,25.14,25.51,25.44,23.8,24.91,24.19,24.17,23.62,23.66,23.9,24.0,23.8,24.91,23.91,24.28,24.41,24.85,24.88,25.25,4.669557558589976,-0.42770965020718643,3.9748342852450103,13.240977692994127,2.058009348233747,-2.92672111933171,-0.9379326293527335,1.0430974651862712,5.741360036869136,-1.935919469634162,1.1280518413905538,4.030044384732778,0.8655702738582738,10.407060289610005,2.571242849590738
17,Indonesia,BPC,Hair Care,Shampoo,Indonesia MT Key Account,47.23,48.93,50.52,50.54,197.22,51.5,49.06,50.73,50.11,201.41,50.05,51.36,54.75,53.18,53.91,54.34,54.87,53.12,50.05,51.36,51.84,50.27,49.87,51.2,51.12,49.97,50.05,51.36,51.38,50.41,51.35,53.45,52.91,52.26,6.741177525734776,0.04943683004337007,3.939727324348974,9.642248303383028,3.2910815903228308,-0.335274732533164,-1.0039591277272053,1.0528699511682227,2.5083446648304752,-0.670777975323078,3.3401929083503257,3.321171248046073,0.8915043786579924,6.4675727484319046,3.3306642094175887
18,Indonesia,BPC,Hair Care,Shampoo,Indonesia MT Minimarket,45.22,47.94,49.3,49.91,192.37,50.16,51.37,53.29,53.29,208.11,52.3,54.13,57.18,55.34,55.44,55.09,56.55,54.33,52.3,54.13,55.28,52.16,51.83,53.01,53.59,51.71,52.3,54.13,54.04,52.69,53.43,55.18,55.42,54.03,3.8456434774702952,-1.4490149651423923,5.2088835069058925,15.095461521573439,1.1247242323820794,-1.4941466122482039,-1.992609174465898,2.767636766665005,9.234909946952463,-1.7445500677566117,2.0483990771257066,2.5497101700331593,2.4276597628766883,13.35450803417193,2.2994054357052818
19,Indonesia,BPC,Hair Care,Shampoo,Indonesia Modern Trade,68.72,71.19,73.51,73.81,287.23,74.72,73.04,74.67,75.04,297.47,73.85,76.27,80.1,79.09,79.63,80.06,81.03,79.33,73.85,76.27,77.78,76.32,75.8,76.3,77.66,75.69,73.85,76.27,78.14,75.68,77.42,79.64,80.58,78.62,6.373788237651112,0.7391961078405451,3.979453918867426,11.426025351496039,3.47386805051364,1.321287587051434,-0.48702203031243396,2.2698548651743478,6.343915238026732,0.405287302253976,4.624700818625271,3.4995143097935166,2.1743876873449253,10.106887797299269,4.055255715594752
20,Indonesia,BPC,Hair Care,Shampoo,Total,264.27,271.26,280.33,282.54,1098.4,283.72,268.49,275.5,282.71,1110.43,280.98,289.51,295.59,299.23,301.07,301.12,304.31,299.22,280.98,289.51,284.08,282.97,280.63,282.99,286.89,281.97,280.98,289.51,286.49,279.24,289.13,294.2,297.27,296.45,5.557709663265364,1.4652310908971788,4.942065141719776,9.771537111696006,3.468741190238278,-1.2030698738882961,0.319833280712567,2.441096062343928,3.103398450387318,-0.44391948851359997,2.2508813049049836,4.949255056253343,2.321859247930469,7.160747409402335,3.5944138126866143
