,COUNTRY,DIVISION,CATEGORY,SUB_CATEGORY,A_2019_Q1,A_2019_Q2,A_2019_Q3,A_2019_Q4,A_2019_FY,A_2020_Q1,A_2020_Q2,A_2020_Q3,A_2020_Q4,A_2020_FY,BS_2021_Q1,BS_2021_Q2,BS_2021_Q3,BS_2021_Q4,BS_2022_Q1,BS_2022_Q2,BS_2022_Q3,BS_2022_Q4,LC_2021_Q1,LC_2021_Q2,LC_2021_Q3,LC_2021_Q4,LC_2022_Q1,LC_2022_Q2,LC_2022_Q3,LC_2022_Q4,RI_2021_Q1,RI_2021_Q2,RI_2021_Q3,RI_2021_Q4,RI_2022_Q1,RI_2022_Q2,RI_2022_Q3,RI_2022_Q4,UL_TO_YTD_NOV,UW_BS_H1_2022_2021,UW_BS_H2_2022_2021,UW_BS_FY_2021_2020,UW_BS_FY_2022_2019,UW_BS_FY_2022_2021,UW_LC_H1_2022_2021,UW_LC_H2_2022_2021,UW_LC_FY_2021_2020,UW_LC_FY_2022_2019,UW_LC_FY_2022_2021,UW_RI_H1_2022_2021,UW_RI_H2_2022_2021,UW_RI_FY_2021_2020,UW_RI_FY_2022_2019,UW_RI_FY_2022_2021,BS_H1_2022_2021,BS_H2_2022_2021,BS_FY_2021_2020,BS_FY_2022_2019,BS_FY_2022_2021,LC_H1_2022_2021,LC_H2_2022_2021,LC_FY_2021_2020,LC_FY_2022_2019,LC_FY_2022_2021,RI_H1_2022_2021,RI_H2_2022_2021,RI_FY_2021_2020,RI_FY_2022_2019,RI_FY_2022_2021
81,Indonesia,HC,Total,Total,382.39,390.27,402.75,416.32,1591.76,413.6,403.1,392.14,413.54,1622.38,411.04,425.61,398.3,412.66,406.43,405.92,411.53,415.07,411.04,425.61,399.23,409.23,401.53,399.46,402.0,405.42,411.04,425.61,404.56,420.49,425.49,438.26,446.64,440.24,590.31,-2.9,1.93,1.55,2.97,-0.52,-4.26,-0.13,1.4,1.05,-2.23,3.24,7.49,2.42,9.98,5.35,-3.94,0.45,1.56,2.98,-1.78,-4.88,-1.16,1.46,1.62,-3.05,4.78,8.22,2.7,13.4,6.48
82,Indonesia,Total,Total,Total,1196.28,1259.99,1294.14,1308.36,5058.81,1294.78,1206.71,1211.02,1276.61,4989.14,1256.02,1330.01,1231.06,1294.26,1295.87,1323.97,1332.29,1344.97,1256.02,1330.01,1226.4,1279.78,1256.66,1274.27,1279.62,1285.62,1256.02,1330.01,1237.86,1290.14,1309.3,1348.2,1359.98,1369.19,1970.04,1.31,6.02,2.45,4.71,3.63,-2.13,2.36,2.07,0.74,0.08,2.76,7.96,2.5,6.48,5.33,0.82,5.27,2.14,4.4,3.02,-2.35,1.78,1.81,0.46,-0.32,3.26,7.84,2.29,7.48,5.51
83,Mexico,BPC,Deos,Deodorants,0.11,0.14,0.14,0.13,0.52,0.12,0.12,0.12,0.12,0.48,0.1,0.13,0.13,0.12,0.12,0.14,0.13,0.13,0.1,0.13,0.13,0.12,0.11,0.13,0.14,0.13,0.1,0.13,0.13,0.13,0.12,0.14,0.14,0.13,157.97,9.37,2.25,1.14,-0.95,5.64,7.88,2.82,1.17,-1.31,5.23,15.84,4.79,2.15,4.16,10.0,9.37,2.25,1.14,-0.95,5.64,7.88,2.82,1.17,-1.31,5.23,15.84,4.79,2.15,4.16,10.0
84,Mexico,BPC,Hair Care,Shampoo,0.14,0.15,0.16,0.15,0.59,0.15,0.15,0.16,0.15,0.61,0.14,0.16,0.16,0.15,0.15,0.17,0.17,0.16,0.14,0.16,0.16,0.15,0.15,0.17,0.17,0.16,0.14,0.16,0.16,0.15,0.17,0.18,0.18,0.16,132.98,4.78,5.19,2.53,10.15,4.99,3.69,5.66,2.51,9.82,4.69,12.38,9.16,2.43,16.07,10.74,4.78,5.19,2.53,10.15,4.99,3.69,5.66,2.51,9.82,4.69,12.38,9.16,2.43,16.07,10.74
85,Mexico,BPC,Skin Cleansing,Skin Cleansing,0.1,0.11,0.12,0.11,0.44,0.12,0.12,0.12,0.11,0.47,0.11,0.12,0.13,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.13,0.11,0.11,0.12,0.13,0.11,87.09,-1.65,-1.64,-1.13,2.46,-1.65,-0.63,-0.87,-0.99,3.54,-0.75,1.71,2.79,-1.17,6.5,2.27,-1.65,-1.64,-1.13,2.46,-1.65,-0.63,-0.87,-0.99,3.54,-0.75,1.71,2.79,-1.17,6.5,2.27
86,Mexico,F&R,Food,Boullion,0.05,0.05,0.06,0.05,0.22,0.06,0.06,0.06,0.06,0.23,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,141.52,-4.62,-1.49,3.62,6.21,-3.08,-3.51,-1.7,3.68,6.77,-2.62,-0.72,0.78,4.28,10.31,0.03,-4.62,-1.49,3.62,6.21,-3.08,-3.51,-1.7,3.68,6.77,-2.62,-0.72,0.78,4.28,10.31,0.03
87,Mexico,F&R,Food,Mayonnaise,0.08,0.08,0.08,0.08,0.32,0.09,0.09,0.09,0.09,0.35,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.1,50.18,3.52,3.37,3.95,16.5,3.45,2.83,3.2,4.0,16.07,3.02,20.94,17.0,4.19,34.26,18.95,3.52,3.37,3.95,16.5,3.45,2.83,3.2,4.0,16.07,3.02,20.94,17.0,4.19,34.26,18.95
88,Mexico,F&R,Food,Soups,0.02,0.02,0.02,0.02,0.09,0.03,0.03,0.02,0.03,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,39.94,1.59,-2.22,8.19,29.82,-0.37,4.92,-2.39,8.34,32.0,1.16,10.47,1.53,8.81,38.72,5.86,1.59,-2.22,8.19,29.82,-0.37,4.92,-2.39,8.34,32.0,1.16,10.47,1.53,8.81,38.72,5.86
89,Mexico,F&R,Food,Total,0.15,0.15,0.16,0.15,0.63,0.18,0.18,0.17,0.18,0.69,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.19,231.64,0.43,0.85,4.49,14.77,0.64,0.98,0.67,4.56,15.06,0.83,11.88,9.09,4.94,26.51,10.47,-1.79,-0.56,4.48,12.51,-1.2,-0.68,-0.76,4.55,13.13,-0.75,5.9,4.42,5.04,20.4,5.13
90,Mexico,F&R,Ice Cream,Ice Cream,0.06,0.11,0.1,0.06,0.33,0.07,0.13,0.1,0.07,0.37,0.08,0.12,0.11,0.07,0.08,0.13,0.11,0.07,0.08,0.12,0.11,0.07,0.08,0.13,0.11,0.07,0.08,0.12,0.11,0.07,0.08,0.13,0.11,0.07,217.7,1.43,-2.19,4.04,16.77,-0.29,4.23,-2.67,4.06,18.25,0.96,3.31,-0.58,4.32,19.13,1.46,1.43,-2.19,4.04,16.77,-0.29,4.23,-2.67,4.06,18.25,0.96,3.31,-0.58,4.32,19.13,1.46
91,Mexico,BPC,Total,Total,0.35,0.4,0.42,0.39,1.55,0.39,0.39,0.4,0.38,1.56,0.35,0.41,0.42,0.38,0.38,0.42,0.42,0.4,0.35,0.41,0.42,0.38,0.37,0.42,0.43,0.4,0.35,0.41,0.42,0.39,0.4,0.44,0.45,0.4,378.03,4.28,2.26,1.0,4.26,3.24,3.69,2.85,1.04,4.33,3.26,10.29,5.91,1.26,9.38,8.02,5.22,2.39,1.11,3.74,3.73,4.45,2.97,1.14,3.72,3.66,11.37,5.87,1.48,8.89,8.48
